안녕 | 1
안녕 | 1
안녕 | 1
안녕 | 1
커피 줄래? | 0
아이스 아메리카노 | 3
세잔 | 4
Cold | 5
True | 6
order | 7
안녕 | 1
에이드에는 뭐가 있어? | 2
체리콕 | 3
세잔 | 4
Cold | 5
True | 6
안녕 | 1
스무디에는 뭐가 있어? | 2
딸기요거트스무디 | 3
두잔 | 4
Cold | 5
True | 6
안녕 | 1
차 줄래? | 0
안녕 | 1
나랑 밥 먹으러 갈래 | Gemini
아이스 아 | Gemini
아이스 아메리카노 | 3
세잔 | 4
Cold | 5
True | 6
아이스 아메리카노 | 3
한전 | Gemini
1시간 달라고 | Gemini
한잔 | 4
Cold | 5
어 담아 줘 | Gemini
True | 6
안녕하세요 | Gemini
음료에는 뭐가 있어? | 2
바나나 폼 클러치 줄 | Gemini
바나나퐁크러쉬 | 3
아니 안 먹고 싶어 | Gemini
세잔 | 4
바나나 폼클을 따뜻하게 먹을 수 있어 | Gemini
Cold | 5
True | 6
안녕 | Gemini
음료 먹고 싶어 | Gemini
아니 그걸 네가 알려 줘야지 커피에 뭐 있어 | Gemini
아니 커피 달라고 | Gemini
아니 커피 달라니까 | Gemini
야 정중하게 모르게 커피 줄래 | Gemini
커피 줄래 | Gemini
안녕 | Gemini
아메리카노 줘 | Gemini
아이스 아메리카노 줄래 | Gemini
아니 아이스 아메리카노 한 잔 달라고 | Gemini
아이스 아메리카노 | 3
세잔 | 4
다섯 개 착해 줘야지 | Gemini
Cold | 5
True | 6
조용히 해 | Gemini
아니 너 조용히 하라니까 | Gemini
아니 아이스 아메리카노 달라 | Gemini
아니 아이스 아메리카노 달라고 | Gemini
아이스 아메리카노 | 3
세잔 | 4
당연히 아이스 아메리카노 차갑게 하지 | Gemini
Cold | 5
어 그래 너 줘 봐 | Gemini
True | 6
안녕 | 1
어쩌라고 | Gemini
어쩌라고 | Gemini
내가 정신적으로 문제가 있다는 거야 지금 | Gemini
아이스 아메리카노 | 3
새장 줘 세 장 | Gemini
안녕하세요 | Gemini
커피에는 뭐가 있어? | 2
카푸치노 | 3
한잔 | 4
Warm | 5
True | 6
아이스 아메리카노 | 3
3 | 4
작게 해 줘 봐 | Gemini
Cold | 5
True | 6
뭐야 왜 이렇게 글씨가 작아졌어요 | Gemini
what the | Gemini
Let's talk with English | Gemini
How are you | Gemini
하늘이 | Gemini
하늘이 돌아와요 해 줘 | Gemini
어렸을 때 봤었는데 | Gemini
너 좀 조용히 좀 하면 안 되냐 | Gemini
그 고양이 조용히 시키는 방법 알려 | Gemini
고양이를 때리면 고양이와 조용해져 | Gemini
그러면 고양이가 이불에다 오줌 | Gemini
택도 없는 소리 하지 | Gemini
